54 Trace(s) in Stream:
CI.ADO..LHZ    | 2008-07-29T00:00:00.690800Z - 2008-07-29T23:59:59.690800Z | 1.0 Hz, 86400 samples
CI.ARV..LHZ    | 2008-07-29T00:00:00.069800Z - 2008-07-29T23:59:59.069800Z | 1.0 Hz, 86400 samples
CI.BAK..LHZ    | 2008-07-29T00:00:00.968800Z - 2008-07-29T23:59:59.968800Z | 1.0 Hz, 86400 samples
CI.BAR..LHZ    | 2008-07-29T00:00:00.560800Z - 2008-07-29T23:59:59.560800Z | 1.0 Hz, 86400 samples
CI.BBR..LHZ    | 2008-07-29T00:00:00.880600Z - 2008-07-29T23:59:59.880600Z | 1.0 Hz, 86400 samples
CI.BC3..LHZ    | 2008-07-29T00:00:00.084600Z - 2008-07-29T23:59:59.084600Z | 1.0 Hz, 86400 samples
CI.BEL..LHZ    | 2008-07-29T00:00:00.056600Z - 2008-07-29T23:59:59.056600Z | 1.0 Hz, 86400 samples
CI.BFS..LHZ    | 2008-07-29T00:00:00.366600Z - 2008-07-29T23:59:59.366600Z | 1.0 Hz, 86400 samples
CI.CHF..LHZ    | 2008-07-29T00:00:00.872600Z - 2008-07-29T23:59:59.872600Z | 1.0 Hz, 86400 samples
CI.CIA..LHZ    | 2008-07-29T00:00:00.932900Z - 2008-07-29T23:59:59.932900Z | 1.0 Hz, 86400 samples
CI.CWC..LHZ    | 2008-07-29T00:00:00.272800Z - 2008-07-29T23:59:59.272800Z | 1.0 Hz, 86400 samples
CI.DAN..LHZ    | 2008-07-29T00:00:00.026900Z - 2008-07-29T23:59:59.026900Z | 1.0 Hz, 86400 samples
CI.DEC..LHZ    | 2008-07-29T00:00:00.098600Z - 2008-07-29T23:59:59.098600Z | 1.0 Hz, 86400 samples
CI.DGR..LHZ    | 2008-07-29T00:00:00.698700Z - 2008-07-29T23:59:59.698700Z | 1.0 Hz, 86400 samples
CI.DJJ..LHZ    | 2008-07-29T00:00:00.902900Z - 2008-07-29T23:59:59.902900Z | 1.0 Hz, 86400 samples
CI.DVT..LHZ    | 2008-07-29T00:00:00.858600Z - 2008-07-29T23:59:59.858600Z | 1.0 Hz, 86400 samples
CI.EDW2..LHZ   | 2008-07-29T00:00:00.069600Z - 2008-07-29T23:59:59.069600Z | 1.0 Hz, 86400 samples
CI.FMP..LHZ    | 2008-07-29T00:00:00.842600Z - 2008-07-29T23:59:59.842600Z | 1.0 Hz, 86400 samples
CI.FUR..LHZ    | 2008-07-29T00:00:00.128900Z - 2008-07-29T23:59:59.128900Z | 1.0 Hz, 86400 samples
CI.GLA..LHZ    | 2008-07-29T00:00:00.035700Z - 2008-07-29T23:59:59.035700Z | 1.0 Hz, 86400 samples
CI.GMR..LHZ    | 2008-07-29T00:00:00.069500Z - 2008-07-29T23:59:59.069500Z | 1.0 Hz, 86400 samples
CI.GRA..LHZ    | 2008-07-29T00:00:00.582600Z - 2008-07-29T23:59:59.582600Z | 1.0 Hz, 86400 samples
CI.GSC..LHZ    | 2008-07-29T00:00:00.716900Z - 2008-07-29T23:59:59.716900Z | 1.0 Hz, 86400 samples
CI.HEC..LHZ    | 2008-07-29T00:00:00.930800Z - 2008-07-29T23:59:59.930800Z | 1.0 Hz, 86400 samples
CI.IRM..LHZ    | 2008-07-29T00:00:00.024900Z - 2008-07-29T23:59:59.024900Z | 1.0 Hz, 86400 samples
CI.ISA..LHZ    | 2008-07-29T00:00:00.936900Z - 2008-07-29T23:59:59.936900Z | 1.0 Hz, 86400 samples
CI.LGU..LHZ    | 2008-07-29T00:00:00.516900Z - 2008-07-29T23:59:59.516900Z | 1.0 Hz, 86400 samples
CI.LRL..LHZ    | 2008-07-29T00:00:00.690800Z - 2008-07-29T23:59:59.690800Z | 1.0 Hz, 86400 samples
CI.MLAC..LHZ   | 2008-07-29T00:00:00.248900Z - 2008-07-29T23:59:59.248900Z | 1.0 Hz, 86400 samples
CI.MPM..LHZ    | 2008-07-29T00:00:00.069500Z - 2008-07-29T23:59:59.069500Z | 1.0 Hz, 86400 samples
CI.MUR..LHZ    | 2008-07-29T00:00:00.098600Z - 2008-07-29T23:59:59.098600Z | 1.0 Hz, 86400 samples
CI.MWC..LHZ    | 2008-07-29T00:00:00.412800Z - 2008-07-29T23:59:59.412800Z | 1.0 Hz, 86400 samples
CI.OSI..LHZ    | 2008-07-29T00:00:00.648100Z - 2008-07-29T23:59:59.648100Z | 1.0 Hz, 86400 samples
CI.PASC.00.LHZ | 2008-07-29T00:00:00.069500Z - 2008-07-29T23:59:59.069500Z | 1.0 Hz, 86400 samples
CI.PDM..LHZ    | 2008-07-29T00:00:00.066500Z - 2008-07-29T23:59:59.066500Z | 1.0 Hz, 86400 samples
CI.PLM..LHZ    | 2008-07-29T00:00:00.990900Z - 2008-07-29T23:59:59.990900Z | 1.0 Hz, 86400 samples
CI.RCT..LHZ    | 2008-07-29T00:00:00.482600Z - 2008-07-29T23:59:59.482600Z | 1.0 Hz, 86400 samples
CI.RPV..LHZ    | 2008-07-29T00:00:00.306900Z - 2008-07-29T23:59:59.306900Z | 1.0 Hz, 86400 samples
CI.RRX..LHZ    | 2008-07-29T00:00:00.368900Z - 2008-07-29T23:59:59.368900Z | 1.0 Hz, 86400 samples
CI.SBC..LHZ    | 2008-07-29T00:00:00.622900Z - 2008-07-29T23:59:59.622900Z | 1.0 Hz, 86400 samples
CI.SCI2..LHZ   | 2008-07-29T00:00:00.069500Z - 2008-07-29T23:59:59.069500Z | 1.0 Hz, 86400 samples
CI.SCZ2..LHZ   | 2008-07-29T00:00:00.069900Z - 2008-07-29T23:59:59.069900Z | 1.0 Hz, 86400 samples
CI.SDD..LHZ    | 2008-07-29T00:00:00.286900Z - 2008-07-29T23:59:59.286900Z | 1.0 Hz, 86400 samples
CI.SHO..LHZ    | 2008-07-29T00:00:00.294900Z - 2008-07-29T23:59:59.294900Z | 1.0 Hz, 86400 samples
CI.SLA..LHZ    | 2008-07-29T00:00:00.560600Z - 2008-07-29T23:59:59.560600Z | 1.0 Hz, 86400 samples
CI.SMM..LHZ    | 2008-07-29T00:00:00.488800Z - 2008-07-29T23:59:59.488800Z | 1.0 Hz, 86400 samples
CI.SVD..LHZ    | 2008-07-29T00:00:00.723600Z - 2008-07-29T23:59:59.723600Z | 1.0 Hz, 86400 samples
CI.SWS..LHZ    | 2008-07-29T00:00:00.896800Z - 2008-07-29T23:59:59.896800Z | 1.0 Hz, 86400 samples
CI.TIN..LHZ    | 2008-07-29T00:00:00.408900Z - 2008-07-29T23:59:59.408900Z | 1.0 Hz, 86400 samples
CI.TUQ..LHZ    | 2008-07-29T00:00:00.000900Z - 2008-07-29T23:59:59.000900Z | 1.0 Hz, 86400 samples
CI.USC..LHZ    | 2008-07-29T00:00:00.548100Z - 2008-07-29T23:59:59.548100Z | 1.0 Hz, 86400 samples
CI.VCS..LHZ    | 2008-07-29T00:00:00.498900Z - 2008-07-29T23:59:59.498900Z | 1.0 Hz, 86400 samples
CI.VES..LHZ    | 2008-07-29T00:00:00.730900Z - 2008-07-29T23:59:59.730900Z | 1.0 Hz, 86400 samples
CI.VTV..LHZ    | 2008-07-29T00:00:00.910500Z - 2008-07-29T23:59:59.910500Z | 1.0 Hz, 86400 samples
