342 Trace(s) in Stream:
BE.MEM..LHZ     | 2019-02-01T01:00:00.069538Z - 2019-02-08T23:59:59.069538Z | 1.0 Hz, 687600 samples
BE.RCHB..LHZ    | 2019-02-01T01:00:00.069538Z - 2019-02-08T23:59:59.069538Z | 1.0 Hz, 687600 samples
BW.ALFT..BHZ    | 2019-02-01T00:59:59.797499Z - 2019-02-08T23:59:58.797499Z | 1.0 Hz, 687600 samples
BW.BDGS..BHZ    | 2019-02-01T01:00:00.297499Z - 2019-02-08T23:59:59.297499Z | 1.0 Hz, 687600 samples
BW.BE1..BHZ     | 2019-02-01T00:59:59.857499Z - 2019-02-08T23:59:58.857499Z | 1.0 Hz, 687600 samples
BW.BIB..BHZ     | 2019-02-01T00:59:59.787500Z - 2019-02-08T23:59:58.787500Z | 1.0 Hz, 687600 samples
BW.KW1..BHZ     | 2019-02-01T01:00:00.457499Z - 2019-02-08T23:59:59.457499Z | 1.0 Hz, 687600 samples
BW.MGSBH..BHZ   | 2019-02-01T00:59:59.725000Z - 2019-02-08T23:59:58.725000Z | 1.0 Hz, 687600 samples
BW.RNON..BHZ    | 2019-02-01T01:00:00.317500Z - 2019-02-08T23:59:59.317500Z | 1.0 Hz, 687600 samples
BW.TON..BHZ     | 2019-02-01T00:59:59.750000Z - 2019-02-08T23:59:58.750000Z | 1.0 Hz, 687600 samples
CH.ACB..LHZ     | 2019-02-01T01:00:00.105000Z - 2019-02-08T23:59:59.105000Z | 1.0 Hz, 687600 samples
CH.BERGE..LHZ   | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
CH.BOURR..LHZ   | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
CH.BRANT..LHZ   | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
CH.DAGMA..LHZ   | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
CH.DIX..LHZ     | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
CH.FIESA..LHZ   | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
CH.FULLY..LHZ   | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
CH.FUORN..LHZ   | 2019-02-01T01:00:00.360000Z - 2019-02-08T23:59:59.360000Z | 1.0 Hz, 687600 samples
CH.FUSIO..LHZ   | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
CH.GIMEL..LHZ   | 2019-02-01T00:59:59.705000Z - 2019-02-08T23:59:58.705000Z | 1.0 Hz, 687600 samples
CH.HASLI..LHZ   | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
CH.LAUCH..LHZ   | 2019-02-01T01:00:00.000000Z - 2019-02-08T23:59:59.000000Z | 1.0 Hz, 687600 samples
CH.LIENZ..LHZ   | 2019-02-01T01:00:00.375000Z - 2019-02-08T23:59:59.375000Z | 1.0 Hz, 687600 samples
CH.LKBD2..LHZ   | 2019-02-01T01:00:00.345000Z - 2019-02-08T23:59:59.345000Z | 1.0 Hz, 687600 samples
